iter,train_loss,val_loss,lr
1,4.164429187774658,4.167967319488525,2.9999999999999997e-06
250,2.4413766860961914,2.44313907623291,0.00029937618024814173
500,2.281930685043335,2.299009084701538,0.00029558480651026894
750,2.1143102645874023,2.1513020992279053,0.00028844570410713465
1000,1.9639294147491455,2.034903049468994,0.0002781418941603984
1250,1.8599143028259277,1.954979419708252,0.0002649375296051676
1500,1.7800980806350708,1.8994784355163574,0.000249171123250929
1750,1.7138073444366455,1.8649331331253052,0.0002312468695205316
2000,1.6617892980575562,1.8119086027145386,0.0002116242823468765
2250,1.6273078918457031,1.7882684469223022,0.00019080641487468524
2500,1.5895270109176636,1.7634921073913574,0.00016932696297217346
2750,1.5616337060928345,1.737729787826538,0.00014773658317259166
3000,1.5420737266540527,1.7158945798873901,0.00012658877580481063
3250,1.523625135421753,1.7043404579162598,0.00010642569521912965
3500,1.5146156549453735,1.6902868747711182,8.776425088350712e-05
3750,1.5060348510742188,1.6888062953948975,7.108285566852933e-05
4000,1.4878795146942139,1.6810702085494995,5.6809161047825864e-05
4250,1.4830093383789062,1.6705987453460693,4.5309093639644984e-05
4500,1.475866436958313,1.6641634702682495,3.687747415355973e-05
4750,1.4729593992233276,1.6550796031951904,3.173045923904922e-05
5000,1.4708515405654907,1.655161738395691,3e-05
